City,Maximum_Mean_Temperature,Minimum_Mean_Temperature,Quarter,Ward
Ahmedabad,295.6786194,295.6786194,2011_Q1,48 RAMOL HATHIJAN
Ahmedabad,295.6786194,295.6786194,2011_Q1,47 VATVA
Ahmedabad,295.6786194,295.6786194,2011_Q1,46 LAMBHA
Ahmedabad,295.6786194,295.6786194,2011_Q1,45 ISANPUR
Ahmedabad,295.6786194,295.6786194,2011_Q1,44 KHOKHRA
Ahmedabad,295.6786194,295.6786194,2011_Q1,43 BHAIPURA HATKESHWAR
Ahmedabad,295.6786194,295.6786194,2011_Q1,42 INDRAPURI
Ahmedabad,295.6786194,295.6786194,2011_Q1,41 VASTRAL
Ahmedabad,295.6786194,295.6786194,2011_Q1,40 ODHAV
Ahmedabad,295.6786194,295.6786194,2011_Q1,39 AMRAIWADI
Ahmedabad,295.6786194,295.6786194,2011_Q1,38 GOMTIPUR
Ahmedabad,295.6786194,295.6786194,2011_Q1,37 MANINAGAR
Ahmedabad,295.6786194,295.6786194,2011_Q1,36 DANILIMDA
Ahmedabad,295.6786194,295.6786194,2011_Q1,35 BAHERAMPURA
Ahmedabad,296.7591858,295.6786194,2011_Q1,34 MAKTAMPURA
Ahmedabad,296.7591858,295.6786194,2011_Q1,33 SARKHEJ
Ahmedabad,295.6786194,295.6786194,2011_Q1,32 VEJALPUR
Ahmedabad,295.6786194,295.6786194,2011_Q1,31 VASNA
Ahmedabad,295.6786194,295.6786194,2011_Q1,30 PALDI
Ahmedabad,295.6786194,295.6786194,2011_Q1,29 JAMALPUR
Ahmedabad,295.6786194,295.6786194,2011_Q1,28 KHADIA
Ahmedabad,295.6786194,295.6786194,2011_Q1,27 SARASPUR-RAKHIYAL
Ahmedabad,295.6786194,295.6786194,2011_Q1,26 BAPUNAGAR
Ahmedabad,295.6786194,295.6786194,2011_Q1,25 VIRATNAGAR
Ahmedabad,295.6786194,295.6786194,2011_Q1,24 NIKOL
Ahmedabad,295.6786194,295.6786194,2011_Q1,23 THAKKARBAPANAGAR
Ahmedabad,295.6786194,295.6786194,2011_Q1,22 INDIA COLONY
Ahmedabad,295.6786194,295.6786194,2011_Q1,21 DARIYAPUR
Ahmedabad,296.7591858,295.6786194,2011_Q1,20 JODHPUR
Ahmedabad,296.7591858,295.6786194,2011_Q1,19 BODAKDEV
Ahmedabad,295.6786194,295.6786194,2011_Q1,18 NAVRANGPURA
Ahmedabad,295.6786194,295.6786194,2011_Q1,17 SHAHPUR
Ahmedabad,295.6786194,295.6786194,2011_Q1,16 SHAHIBAG
Ahmedabad,295.6786194,295.6786194,2011_Q1,15 ASARWA
Ahmedabad,295.6786194,295.6786194,2011_Q1,14 KUBERNAGR
Ahmedabad,295.6786194,295.6786194,2011_Q1,13 SAIJPUR BOGHA
Ahmedabad,295.6786194,295.6786194,2011_Q1,12 NARODA
Ahmedabad,295.6786194,295.6786194,2011_Q1,11 SARDARNAGAR
Ahmedabad,295.6786194,295.6786194,2011_Q1,10 S.P.STADIUM
Ahmedabad,295.6786194,295.6786194,2011_Q1,09 NARANPURA
Ahmedabad,296.7591858,295.6786194,2011_Q1,08 THALTEJ
Ahmedabad,295.6786194,295.6786194,2011_Q1,07 GHATLODIA
Ahmedabad,295.6786194,295.6786194,2011_Q1,06 NEW WADAJ
Ahmedabad,295.6786194,295.6786194,2011_Q1,05 RANIP
Ahmedabad,295.6786194,295.6786194,2011_Q1,04 SABARMATI
Ahmedabad,295.6786194,295.6786194,2011_Q1,03 CHANDKHEDA
Ahmedabad,295.6786194,295.6786194,2011_Q1,02 CHANDLODIA
Ahmedabad,296.7591858,295.6786194,2011_Q1,01 GOTA
Ahmedabad,306.9395752,306.9395752,2011_Q2,48 RAMOL HATHIJAN
Ahmedabad,306.9395752,306.9395752,2011_Q2,47 VATVA
Ahmedabad,306.9395752,306.9395752,2011_Q2,46 LAMBHA
Ahmedabad,306.9395752,306.9395752,2011_Q2,45 ISANPUR
