DISTRICT,DT_CEN_CD,ST_CEN_CD,ST_NM,date,mean
Chandigarh,1,4,Chandigarh,2001-01-01,2.49E-06
Dadra & Nagar Haveli,1,26,Dadara & Nagar Havelli,2001-01-01,0.00E+00
Lakshadweep,1,31,Lakshadweep,2001-01-01,1.63E-05
Data Not Available,99,99,Jammu and Kashmir,2001-01-01,4.11E-06
Anantnag,6,1,Jammu and Kashmir,2001-01-01,8.45E-06
Badgam,4,1,Jammu and Kashmir,2001-01-01,6.89E-06
Baramula,2,1,Jammu and Kashmir,2001-01-01,4.49E-06
Doda,9,1,Jammu and Kashmir,2001-01-01,7.50E-06
Srinagar,3,1,Jammu and Kashmir,2001-01-01,4.10E-06
Udhampur,10,1,Jammu and Kashmir,2001-01-01,6.73E-06
Jammu,13,1,Jammu and Kashmir,2001-01-01,5.21E-06
Kargil,8,1,Jammu and Kashmir,2001-01-01,5.11E-06
Kathua,14,1,Jammu and Kashmir,2001-01-01,5.37E-06
Leh (Ladakh),7,1,Jammu and Kashmir,2001-01-01,2.62E-06
Kupwara,1,1,Jammu and Kashmir,2001-01-01,5.07E-06
Punch,11,1,Jammu and Kashmir,2001-01-01,7.04E-06
Pulwama,5,1,Jammu and Kashmir,2001-01-01,8.14E-06
Rajauri,12,1,Jammu and Kashmir,2001-01-01,6.44E-06
Bilaspur,8,2,Himachal Pradesh,2001-01-01,2.67E-06
Chamba,1,2,Himachal Pradesh,2001-01-01,4.12E-06
Hamirpur,6,2,Himachal Pradesh,2001-01-01,2.89E-06
Shimla,11,2,Himachal Pradesh,2001-01-01,2.83E-06
Sirmaur,10,2,Himachal Pradesh,2001-01-01,2.99E-06
Solan,9,2,Himachal Pradesh,2001-01-01,2.72E-06
Una,7,2,Himachal Pradesh,2001-01-01,2.63E-06
Kangra,2,2,Himachal Pradesh,2001-01-01,3.33E-06
Kinnaur,12,2,Himachal Pradesh,2001-01-01,3.33E-06
Lahul & Spiti,3,2,Himachal Pradesh,2001-01-01,3.53E-06
Kullu,4,2,Himachal Pradesh,2001-01-01,3.08E-06
Mandi,5,2,Himachal Pradesh,2001-01-01,2.95E-06
Hoshiarpur,5,3,Punjab,2001-01-01,2.55E-06
Amritsar,2,3,Punjab,2001-01-01,1.70E-06
Firozpur,11,3,Punjab,2001-01-01,3.51E-07
Bathinda,14,3,Punjab,2001-01-01,2.47E-07
Gurdaspur,1,3,Punjab,2001-01-01,3.35E-06
Faridkot,13,3,Punjab,2001-01-01,1.87E-07
Fatehgarh Sahib,8,3,Punjab,2001-01-01,1.98E-06
Rupnagar,7,3,Punjab,2001-01-01,2.40E-06
Jalandhar,4,3,Punjab,2001-01-01,1.59E-06
Kapurthala,3,3,Punjab,2001-01-01,1.74E-06
Ludhiana,9,3,Punjab,2001-01-01,1.26E-06
Mansa,15,3,Punjab,2001-01-01,3.36E-07
Moga,10,3,Punjab,2001-01-01,5.35E-07
Muktsar,12,3,Punjab,2001-01-01,1.17E-07
Nawanshahr,6,3,Punjab,2001-01-01,1.97E-06
Patiala,17,3,Punjab,2001-01-01,1.80E-06
Sangrur,16,3,Punjab,2001-01-01,6.20E-07
Hardwar,13,5,Uttarakhand,2001-01-01,2.68E-06
Bageshwar,8,5,Uttarakhand,2001-01-01,2.52E-06
Almora,9,5,Uttarakhand,2001-01-01,1.22E-06
Chamoli,2,5,Uttarakhand,2001-01-01,4.39E-06
Champawat,10,5,Uttarakhand,2001-01-01,2.17E-06
Dehradun,5,5,Uttarakhand,2001-01-01,3.01E-06
Garhwal,6,5,Uttarakhand,2001-01-01,2.61E-06
Rudraprayag,3,5,Uttarakhand,2001-01-01,4.07E-06
Tehri Garhwal,4,5,Uttarakhand,2001-01-01,3.32E-06
Udham Singh Nagar,12,5,Uttarakhand,2001-01-01,1.31E-06
Uttarkashi,1,5,Uttarakhand,2001-01-01,3.51E-06
Nainital,11,5,Uttarakhand,2001-01-01,1.15E-06
Pithoragarh,7,5,Uttarakhand,2001-01-01,3.08E-06
Hisar,12,6,Haryana,2001-01-01,4.46E-07
Ambala,2,6,Haryana,2001-01-01,2.29E-06
Gurgaon,18,6,Haryana,2001-01-01,8.76E-07
Faridabad,19,6,Haryana,2001-01-01,7.60E-07
Fatehabad,10,6,Haryana,2001-01-01,2.75E-07
Rohtak,14,6,Haryana,2001-01-01,1.34E-06
Sirsa,11,6,Haryana,2001-01-01,7.86E-08
Sonipat,8,6,Haryana,2001-01-01,1.49E-06
Yamunanagar,3,6,Haryana,2001-01-01,2.48E-06
Jhajjar,15,6,Haryana,2001-01-01,1.26E-06
Mahendragarh,16,6,Haryana,2001-01-01,8.43E-07
Rewari,17,6,Haryana,2001-01-01,1.19E-06
Bhiwani,13,6,Haryana,2001-01-01,6.29E-07
Jind,9,6,Haryana,2001-01-01,1.51E-06
Kaithal,5,6,Haryana,2001-01-01,2.09E-06
Karnal,6,6,Haryana,2001-01-01,2.55E-06
Kurukshetra,4,6,Haryana,2001-01-01,2.17E-06
Panchkula,1,6,Haryana,2001-01-01,2.69E-06
Panipat,7,6,Haryana,2001-01-01,1.94E-06
Central,6,7,Delhi  & NCR,2001-01-01,8.95E-07
East,4,7,Delhi  & NCR,2001-01-01,9.30E-07
New Delhi,5,7,Delhi  & NCR,2001-01-01,8.92E-07
North,2,7,Delhi  & NCR,2001-01-01,9.08E-07
North East,3,7,Delhi  & NCR,2001-01-01,9.34E-07
North West,1,7,Delhi  & NCR,2001-01-01,1.03E-06
South,9,7,Delhi  & NCR,2001-01-01,8.69E-07
South West,8,7,Delhi  & NCR,2001-01-01,1.09E-06
West,7,7,Delhi  & NCR,2001-01-01,9.49E-07
Ajmer,21,8,Rajasthan,2001-01-01,0.00E+00
Banswara,28,8,Rajasthan,2001-01-01,0.00E+00
Barmer,17,8,Rajasthan,2001-01-01,0.00E+00
Bhilwara,24,8,Rajasthan,2001-01-01,0.00E+00
Bikaner,3,8,Rajasthan,2001-01-01,0.00E+00
Bharatpur,7,8,Rajasthan,2001-01-01,1.97E-07
Bundi,23,8,Rajasthan,2001-01-01,0.00E+00
Chittaurgarh,29,8,Rajasthan,2001-01-01,0.00E+00
Churu,4,8,Rajasthan,2001-01-01,2.29E-08
Dausa,11,8,Rajasthan,2001-01-01,4.27E-08
Dhaulpur,8,8,Rajasthan,2001-01-01,4.36E-08
Dungarpur,27,8,Rajasthan,2001-01-01,0.00E+00
Karauli,9,8,Rajasthan,2001-01-01,1.36E-08
Sirohi,19,8,Rajasthan,2001-01-01,0.00E+00
Tonk,22,8,Rajasthan,2001-01-01,7.63E-11
Sikar,13,8,Rajasthan,2001-01-01,5.36E-09
Alwar,6,8,Rajasthan,2001-01-01,4.34E-07
Udaipur,26,8,Rajasthan,2001-01-01,0.00E+00
Ganganagar,1,8,Rajasthan,2001-01-01,3.74E-08
Hanumangarh,2,8,Rajasthan,2001-01-01,2.26E-08
Baran,31,8,Rajasthan,2001-01-01,2.12E-08
Jaipur,12,8,Rajasthan,2001-01-01,4.51E-08
Jaisalmer,16,8,Rajasthan,2001-01-01,1.35E-09
Jalor,18,8,Rajasthan,2001-01-01,0.00E+00
Jhalawar,32,8,Rajasthan,2001-01-01,2.32E-08
Jhunjhunun,5,8,Rajasthan,2001-01-01,1.14E-07
Jodhpur,15,8,Rajasthan,2001-01-01,4.37E-11
Kota,30,8,Rajasthan,2001-01-01,3.92E-09
Nagaur,14,8,Rajasthan,2001-01-01,0.00E+00
Pali,20,8,Rajasthan,2001-01-01,0.00E+00
Rajsamand,25,8,Rajasthan,2001-01-01,0.00E+00
Sawai Madhopur,10,8,Rajasthan,2001-01-01,2.66E-09
Hathras,13,9,Uttar Pradesh,2001-01-01,1.64E-07
Auraiya,32,9,Uttar Pradesh,2001-01-01,2.60E-07
Azamgarh,61,9,Uttar Pradesh,2001-01-01,1.38E-06
Budaun,19,9,Uttar Pradesh,2001-01-01,7.10E-07
Agra,15,9,Uttar Pradesh,2001-01-01,1.01E-07
Aligarh,12,9,Uttar Pradesh,2001-01-01,5.10E-07
Allahabad,45,9,Uttar Pradesh,2001-01-01,2.86E-06
Ambedkar Nagar,48,9,Uttar Pradesh,2001-01-01,1.23E-06
Bareilly,20,9,Uttar Pradesh,2001-01-01,7.50E-07
Bijnor,3,9,Uttar Pradesh,2001-01-01,1.81E-06
Basti,55,9,Uttar Pradesh,2001-01-01,1.42E-06
Baghpat,8,9,Uttar Pradesh,2001-01-01,1.59E-06
Bahraich,50,9,Uttar Pradesh,2001-01-01,1.84E-06
Ballia,63,9,Uttar Pradesh,2001-01-01,1.60E-06
Balrampur,52,9,Uttar Pradesh,2001-01-01,1.66E-06
Banda,40,9,Uttar Pradesh,2001-01-01,2.03E-06
Barabanki,46,9,Uttar Pradesh,2001-01-01,1.74E-06
Chitrakoot,41,9,Uttar Pradesh,2001-01-01,2.45E-06
Chandauli,66,9,Uttar Pradesh,2001-01-01,3.06E-06
Deoria,60,9,Uttar Pradesh,2001-01-01,1.23E-06
Etah,17,9,Uttar Pradesh,2001-01-01,2.85E-07
Kanpur Dehat,33,9,Uttar Pradesh,2001-01-01,7.22E-07
Etawah,31,9,Uttar Pradesh,2001-01-01,1.74E-07
Faizabad,47,9,Uttar Pradesh,2001-01-01,1.66E-06
Ghazipur,65,9,Uttar Pradesh,2001-01-01,1.75E-06
Gonda,53,9,Uttar Pradesh,2001-01-01,1.50E-06
Gorakhpur,58,9,Uttar Pradesh,2001-01-01,1.39E-06
Farrukhabad,29,9,Uttar Pradesh,2001-01-01,4.28E-07
Fatehpur,42,9,Uttar Pradesh,2001-01-01,1.76E-06
Firozabad,16,9,Uttar Pradesh,2001-01-01,1.05E-07
Hamirpur,38,9,Uttar Pradesh,2001-01-01,1.16E-06
Hardoi,25,9,Uttar Pradesh,2001-01-01,7.97E-07
