system:index,ADM0_NAME,ADM1_NAME,ADM2_NAME,date,mean
0_00000000000000002d8e,India,Mizoram,Lunglei,2018-01-01,19.413888384538065
0_00000000000000002d90,India,Mizoram,Saiha,2018-01-01,17.469568201022472
0_00000000000000002d8c,India,Andaman and Nicobar,Andaman Islands,2018-01-01,45.15582051850974
0_00000000000000002d8d,India,Andaman and Nicobar,Nicobar Islands,2018-01-01,50.233862266931254
0_00000000000000002d8f,India,Mizoram,Lawngtlai,2018-01-01,20.483623118974183
0_00010000000000000db9,India,Goa,North Goa,2018-01-01,23.883246213966956
0_00010000000000000dba,India,Goa,South Goa,2018-01-01,25.05686175149573
0_00010000000000000dbd,India,Gujarat,Banas Kantha,2018-01-01,6.630310349472558
0_00010000000000000dc5,India,Gujarat,Mahesana,2018-01-01,7.249366842893833
0_00010000000000000dd2,India,Gujarat,Patan,2018-01-01,7.145385995182661
0_00010000000000000dd4,India,Haryana,Ambala,2018-01-01,6.2820760046194595
0_00010000000000000dd9,India,Haryana,Karnal,2018-01-01,7.1462310572919066
0_00010000000000000dda,India,Haryana,Kurukshetra,2018-01-01,6.813555207243229
0_00010000000000000ddb,India,Haryana,Mahendragarh,2018-01-01,6.762673435747962
0_00010000000000000dde,India,Haryana,Sonepat,2018-01-01,7.055772220316512
0_00010000000000000de2,India,Haryana,Kaithal,2018-01-01,7.243023872532563
0_00010000000000000de3,India,Haryana,Panchkula,2018-01-01,5.751745161247376
0_00010000000000000de4,India,Haryana,Panipat,2018-01-01,7.086974571213716
0_00010000000000000de5,India,Haryana,Rewari,2018-01-01,6.955708751909076
0_00010000000000000de6,India,Haryana,Yamuna Nagar,2018-01-01,5.83305429914877
0_00010000000000000e1f,India,Maharashtra,Bhandara,2018-01-01,12.746344509118739
0_00010000000000000e38,India,Maharashtra,Gondiya,2018-01-01,13.32431742163087
0_00010000000000000e39,India,Maharashtra,Hingoli,2018-01-01,11.834553505123264
0_00010000000000000e3e,India,Maharashtra,Parbhani,2018-01-01,12.434828300206375
0_00010000000000000e4a,India,Meghalaya,East Khasi Hills,2018-01-01,15.508679907967101
0_00010000000000000e4c,India,Meghalaya,West Garo Hills,2018-01-01,18.683738631985925
0_00010000000000000e4e,India,Meghalaya,Ri-Bhoi,2018-01-01,20.629117431618095
0_00010000000000000e4f,India,Meghalaya,South Garo Hills,2018-01-01,17.753241036367857
0_00010000000000000e50,India,Mizoram,Aizawl,2018-01-01,20.63024390044728
0_00010000000000000e51,India,Mizoram,Champhai,2018-01-01,16.527688936704823
0_00010000000000000e52,India,Mizoram,Kolasib,2018-01-01,22.674035258545647
0_00010000000000000e53,India,Mizoram,Mamit,2018-01-01,21.009868011307915
0_00010000000000000e54,India,Mizoram,Serchhip,2018-01-01,17.581112870933953
0_00010000000000000e5d,India,Orissa,Cuttack,2018-01-01,20.65667180468519
0_00010000000000000e5e,India,Orissa,Dhenkanal,2018-01-01,19.139025504210583
0_00010000000000000e5f,India,Orissa,Ganjam,2018-01-01,21.385208382289097
0_00010000000000000e60,India,Orissa,Kalahandi,2018-01-01,19.94231865137744
0_00010000000000000e62,India,Orissa,Koraput,2018-01-01,20.277108257866775
0_00010000000000000e64,India,Orissa,Puri,2018-01-01,22.4048537165336
0_00010000000000000e65,India,Orissa,Sambalpur,2018-01-01,17.177865029810448
0_00010000000000000e67,India,Orissa,Angul,2018-01-01,18.552351419755347
0_00010000000000000e68,India,Orissa,Baleshwar,2018-01-01,17.46544961391255
0_00010000000000000e69,India,Orissa,Baragarh,2018-01-01,16.676724743746554
0_00010000000000000e6a,India,Orissa,Bhadrak,2018-01-01,18.954343952701667
0_00010000000000000e6b,India,Orissa,Bolangir,2018-01-01,18.034388049604413
0_00010000000000000e6c,India,Orissa,Boudh,2018-01-01,19.222821162455148
0_00010000000000000e6d,India,Orissa,Deogarh,2018-01-01,17.193898615745166
0_00010000000000000e6e,India,Orissa,Gajapati,2018-01-01,22.09957913675138
0_00010000000000000e6f,India,Orissa,Jagatsinghpur,2018-01-01,21.33106040429543
0_00010000000000000e70,India,Orissa,Jajpur,2018-01-01,19.309754433664125
0_00010000000000000e71,India,Orissa,Jharsuguda,2018-01-01,16.051164029472567
0_00010000000000000e72,India,Orissa,Kandhamal,2018-01-01,19.37152805995707
0_00010000000000000e73,India,Orissa,Kendrapara,2018-01-01,20.56288205331515
0_00010000000000000e74,India,Orissa,Khordha,2018-01-01,21.633880765097064
0_00010000000000000e75,India,Orissa,Malkangiri,2018-01-01,23.482956228871682
0_00010000000000000e76,India,Orissa,Nabarangpur,2018-01-01,18.594407213023032
0_00010000000000000e77,India,Orissa,Nayagarh,2018-01-01,20.442023642230446
0_00010000000000000e78,India,Orissa,Nuapada,2018-01-01,17.082308638299807
0_00010000000000000e79,India,Orissa,Rayagada,2018-01-01,20.75135042051903
0_00010000000000000e7a,India,Orissa,Sonepur,2018-01-01,18.480854046746796
0_00010000000000000e7c,India,Punjab,Bathinda,2018-01-01,6.887111296565297
0_00010000000000000e7f,India,Punjab,Hoshiarpur,2018-01-01,6.776582146726649
0_00010000000000000e83,India,Punjab,Patiala,2018-01-01,7.039089384946082
0_00010000000000000e84,India,Punjab,Rupnagar,2018-01-01,6.387166074561017
0_00010000000000000e86,India,Punjab,Faridkot,2018-01-01,6.942968687937846
0_00010000000000000e87,India,Punjab,Fatehgarh Sahib,2018-01-01,7.007369913076349
