City,Avg_Maximum_Temperature,Avg_Minimum_Temperature,Monthly
Ahmedabad,292.5822754,290.7838745,01-2011
Bangalore,296.9588623,295.3451538,01-2011
Bhopal,290.4467773,290.3387146,01-2011
Bhubaneswar,291.6048584,291.6048584,01-2011
Chennai,297.1580811,297.1580811,01-2011
Delhi,288.5959778,288.5959778,01-2011
Hyderabad,295.5338745,294.4403381,01-2011
Jaipur,288.4411316,288.4411316,01-2011
Kolkata,294.1709595,293.2959595,01-2011
Mumbai,296.4056396,296.4056396,01-2011
Pune,296.4056396,296.4056396,01-2011
Ahmedabad,296.280365,295.1053772,02-2011
Bangalore,297.842865,297.0249939,02-2011
Bhopal,293.9490967,293.6268005,02-2011
Bhubaneswar,294.9169617,294.9169617,02-2011
Chennai,298.0241089,298.0241089,02-2011
Delhi,291.3901978,291.3901978,02-2011
Hyderabad,297.1991272,296.9884033,02-2011
Jaipur,291.4580383,291.4580383,02-2011
Kolkata,297.0107117,295.9446411,02-2011
Mumbai,298.7401733,298.7401733,02-2011
Pune,298.7401733,298.7401733,02-2011
Ahmedabad,301.3685608,301.0911255,03-2011
Bangalore,301.2580566,300.9040527,03-2011
Bhopal,299.9629211,299.385498,03-2011
Bhubaneswar,299.1645203,299.1645203,03-2011
Chennai,300.8250122,300.8250122,03-2011
Delhi,295.7475891,295.7475891,03-2011
Hyderabad,302.5540466,302.1306458,03-2011
Jaipur,297.2266235,297.2266235,03-2011
Kolkata,300.977417,299.8790283,03-2011
Mumbai,301.1379089,301.1379089,03-2011
Pune,301.1379089,301.1379089,03-2011
Ahmedabad,304.9825134,304.5299988,04-2011
Bangalore,300.9683533,300.543335,04-2011
Bhopal,303.8791809,302.8658447,04-2011
Bhubaneswar,300.1833496,300.1833496,04-2011
Chennai,301.7791748,301.7791748,04-2011
Delhi,299.3408508,299.3408508,04-2011
Hyderabad,303.8808289,302.7091675,04-2011
Jaipur,301.3991699,301.3991699,04-2011
Kolkata,301.3033447,300.8516846,04-2011
Mumbai,302.6224976,302.6224976,04-2011
Pune,302.6224976,302.6224976,04-2011
Ahmedabad,307.6677551,307.5330811,05-2011
Bangalore,303.6895142,300.6104736,05-2011
Bhopal,307.7250061,306.6540527,05-2011
Bhubaneswar,304.5733948,304.5733948,05-2011
Chennai,305.9459839,305.9459839,05-2011
Delhi,307.7677612,307.7677612,05-2011
Hyderabad,307.3661499,306.272583,05-2011
Jaipur,307.9137268,307.9137268,05-2011
Kolkata,302.8443604,302.8096924,05-2011
Mumbai,303.5846863,303.5846863,05-2011
Pune,303.5846863,303.5846863,05-2011
Ahmedabad,308.4208374,308.2833252,06-2011
Bangalore,298.6824951,297.1108398,06-2011
Bhopal,306.9425049,306.8391724,06-2011
Bhubaneswar,300.7875061,300.7875061,06-2011
Chennai,304.4725037,304.4725037,06-2011
Delhi,309.6133423,309.6133423,06-2011
Hyderabad,302.2749939,299.8399963,06-2011
Jaipur,309.6808472,309.6808472,06-2011
Kolkata,301.1625061,301.043335,06-2011
Mumbai,300.5083313,300.5083313,06-2011
Pune,300.5083313,300.5083313,06-2011
Ahmedabad,304.9524231,303.0846863,07-2011
Bangalore,297.6959839,296.545166,07-2011
Bhopal,300.7677612,300.1596985,07-2011
Bhubaneswar,297.1266174,297.1266174,07-2011
Chennai,302.5919495,302.5919495,07-2011
Delhi,307.0983887,307.0983887,07-2011
Hyderabad,298.4306641,297.9378967,07-2011
Jaipur,305.2040405,305.2040405,07-2011
Kolkata,300.3387146,299.602417,07-2011
Mumbai,298.6419373,298.6419373,07-2011
Pune,298.6419373,298.6419373,07-2011
Ahmedabad,303.2790527,301.1685486,08-2011
Bangalore,297.1508179,296.307251,08-2011
Bhopal,298.7290344,298.080658,08-2011
Bhubaneswar,296.8935547,296.8935547,08-2011
Chennai,301.1959839,301.1959839,08-2011
Delhi,302.4911499,302.4911499,08-2011
Hyderabad,297.7137146,297.1685486,08-2011
Jaipur,300.772583,300.772583,08-2011
Kolkata,300.3588867,299.4742126,08-2011
Mumbai,298.4516296,298.4516296,08-2011
Pune,298.4516296,298.4516296,08-2011
Ahmedabad,302.1491699,300.206665,09-2011
Bangalore,296.9533386,296.3575134,09-2011
Bhopal,298.0825195,297.4033508,09-2011
Bhubaneswar,296.4541626,296.4541626,09-2011
Chennai,301.0991821,301.0991821,09-2011
Delhi,300.7041626,300.7041626,09-2011
Hyderabad,297.4558411,296.8950195,09-2011
Jaipur,299.3166809,299.3166809,09-2011
Kolkata,300.104187,299.1958313,09-2011
Mumbai,298.3325195,298.3325195,09-2011
Pune,298.3325195,298.3325195,09-2011
Ahmedabad,303.6766052,302.7572632,10-2011
Bangalore,297.6225891,297.4588623,10-2011
Bhopal,300.4975891,298.9766235,10-2011
Bhubaneswar,296.2395325,296.2395325,10-2011
Chennai,301.6419373,301.6419373,10-2011
Delhi,298.4145203,298.4145203,10-2011
Hyderabad,299.2419434,298.4338684,10-2011
Jaipur,299.5266113,299.5266113,10-2011
Kolkata,298.807251,297.8605042,10-2011
Mumbai,301.375824,301.375824,10-2011
Pune,301.375824,301.375824,10-2011
Ahmedabad,302.0366821,300.3416748,11-2011
Bangalore,298.4816589,297.1700134,11-2011
Bhopal,298.2449951,297.3925171,11-2011
Bhubaneswar,294.7033386,294.7033386,11-2011
Chennai,300.5675049,300.5675049,11-2011
Delhi,296.2225037,296.2225037,11-2011
Hyderabad,298.0291748,298.0050049,11-2011
Jaipur,297.0383301,297.0383301,11-2011
Kolkata,297.311676,295.0299988,11-2011
Mumbai,301.0950012,301.0950012,11-2011
Pune,301.0950012,301.0950012,11-2011
Ahmedabad,292.4032288,291.2129211,12-2011
Bangalore,297.057251,295.2330627,12-2011
Bhopal,292.1072693,291.9959717,12-2011
Bhubaneswar,291.9717712,291.9717712,12-2011
Chennai,298.2435608,298.2435608,12-2011
Delhi,289.3733826,289.3733826,12-2011
Hyderabad,295.6105042,294.2814636,12-2011
Jaipur,289.5669556,289.5669556,12-2011
